-----------  ------------  ---------  ----------  -----------
P00128       6t0bG         P07256     3cx5A       positive
P00128       6t0bG         P22289     6t0bI       negative
Q3MHR7       1k8kD         P61157     1u2vA       positive
Q3MHR7       1k8kD         Q148J6     1k8kF       positive
Q3MHR7       1k8kD         Q3SYX9     1k8kG       negative
Q3MHR7       1k8kD         A7MB62     2p9kB       negative
Q3MHR7       1k8kD         Q3T035     1k8kE       negative
P02698       2trcG         P62871     2trcB       positive
P02698       2trcG         P19632     1a0rP       negative
P02698       2trcG         P04695     1gotA       negative
P02698       2trcG         P20942     2trcP       negative
P04038       2occI         P68530     2y69B       positive
P04038       2occI         P07471     5b1bG       negative
P04038       2occI         P00415     2occC       negative
Q5SKW1       5tmcF         Q8RQE9     2a6hC       positive
Q5SKW1       5tmcF         Q8RQE7     2a6hE       negative
P63212       7pwdG         P62873     7eptB       positive
P63212       7pwdG         P54311     7wigB       positive
P63212       7pwdG         P25098     6u7cA       negative
P63212       7pwdG         P21279     7sq2A       negative
P61048       4ogqH         Q8YVQ2     4ogqE       positive
P61048       4ogqH         P0A3Y1     4ogqF       positive
P61048       4ogqH         Q93SW9     4h44C       positive
P61048       4ogqH         Q93SX0     4ogqD       negative
A7MB62       2p9kB         Q58CQ2     1u2vC       positive
A7MB62       2p9kB         Q3T035     1k8kE       negative
A7MB62       2p9kB         Q3MHR7     1k8kD       negative
Q16594       7eggI         Q15542     7eggE       positive
Q16594       7eggI         Q12962     7eggJ       negative
P07552       1sqqK         P00130     1pp9J       positive
P07552       1sqqK         P13271     1be3G       negative
P07552       1sqqK         P00126     1l0lH       negative
P68530       2y69B         P04038     2occI       positive
P68530       2y69B         P00396     2occA       positive
P68530       2y69B         P07471     5b1bG       negative
P00423       7thuD         P00396     2occA       positive
P00423       7thuD         P00415     2occC       negative
P00423       7thuD         P07471     5b1bG       negative
P19632       1a0rP         P62871     2trcB       positive
P19632       1a0rP         P02698     2trcG       negative
P61586       5fr1A         P19803     5fr1B       positive
P61586       5fr1A         P21279     7sq2A       negative
Q8YVQ2       4ogqE         Q93SW9     4h44C       positive
Q8YVQ2       4ogqE         P61048     4ogqH       positive
Q8YVQ2       4ogqE         P0A3Y1     4ogqF       positive
Q8YVQ2       4ogqE         Q93SX1     4h44B       negative
Q8YVQ2       4ogqE         P58246     4ogqG       negative
O75643       7dvqD         Q9NZ63     7os2C       positive
O75643       7dvqD         O75643     7dvqD       negative
Q93SX0       4ogqD         Q93SX1     4h44B       positive
Q93SX0       4ogqD         P58246     4ogqG       negative
Q93SX0       4ogqD         P0A3Y1     4ogqF       negative
Q93SX0       4ogqD         P61048     4ogqH       negative
Q16531       2b5lA         Q13216     7ooba       positive
Q16531       2b5lA         Q96SW2     5fqdB       positive
Q16531       2b5lA         P0CF65     4ci2B       positive
Q16531       2b5lA         Q9BW61     6paiE       positive
Q16531       2b5lA         P62877     3dplR       negative
P20942       2trcP         P62871     2trcB       positive
P20942       2trcP         P02698     2trcG       negative
Q12962       7eggJ         Q7Z7C8     7eggH       positive
Q12962       7eggJ         Q16594     7eggI       negative
A1Z6E0       2fnjA         P83940     2jz3C       positive
A1Z6E0       2fnjA         P62869     2fnjB       negative
-----------  ------------  ---------  ----------  -----------
